StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Pconsent_self,gender,bday,race_ethnicity,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Ptime,time_photo_Id,time_photo_Name,time_photo_Size,time_photo_Type,subs,history_photo_Id,history_photo_Name,history_photo_Size,history_photo_Type,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
2025-03-03 09:45:23,2025-03-03 09:49:06,IP Address,,100,222,True,2025-03-03 09:49:08,R_1OSy8Wid6pjirUT,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,05/10/1980,Asian,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Chicago,IL,Yes,iPad tablet,Yes,Yes,Yes,ESET32,30,F_3OlyNP5tXiE3Hyp,Time,22541,image/jpeg,dobochobo,F_2Qy1JYFLEBSSkiR,Time,22541,image/jpeg,it's awesome and great,A lot,A great deal,A lot,A great deal,A lot,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,6n3pOu5TqxmjKovezBA5OJ,36661704,,05/10/1980,
2025-03-03 09:47:31,2025-03-03 09:50:04,IP Address,70.130.77.75,100,152,True,2025-03-03 09:50:05,R_3BsmKjqbeudPkMy,,,,,35.9151,-79.0972,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,12/26/1983,Asian,Less than high school,High school degree or equivalent,"$100,000 or greater","New York ",NC,No,Some other device,No,No,No,No,22,,,,,,,,,,Fun,A lot,A moderate amount,A lot,A lot,A lot,2,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,37OHFAPuWP82CB3HBgXaja,36661704,1449,12/26/1983,Complete
2025-03-03 09:51:33,2025-03-03 09:51:51,IP Address,,100,18,True,2025-03-03 09:51:52,R_7zTpHgZcs2MRLMu,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Parent,2,Consent_1,,anonymous,.70,10,USA,220,2,1DU9D0FyxtxWWGZ80K4tH0,36661704,,,
2025-03-03 09:51:24,2025-03-03 09:57:46,IP Address,104.28.57.244,100,382,True,2025-03-03 09:57:47,R_5DdfDtXn0iJZ2yB,,,,,27.9455,-82.4598,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,7/10/2010,White,"Master's degree (e.g. MA, MS)",Doctoral Degree,"$100,000 or greater","Orlando ",FL,Yes,Some other device,No,,No,,0,,,,,None,,,,,Not allow to watch,A moderate amount,A great deal,None at all,A lot,None at all,"No examples but it could be harmful and it is not worth the chance of harmful influences it could cause ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,0dJvO11MppfPVbm3gOf3BM,36661704,1449,7/10/2010,Complete
2025-03-03 10:06:29,2025-03-03 10:09:28,IP Address,174.103.108.4,100,178,True,2025-03-03 10:09:28,R_7S1SZA4y5O0AzK1,,,,,39.9914,-83.0034,anonymous,EN,1,,0,0,,Agree,Male,06/01/2010,Black or African American,Some college,Some college,"$35,000 through $49,999",columbus,ohio,No,Android phone,No,No,No,we didn't appy any filters as of yet,1.5,,,,,spongebob,,,,,"nothing surprising, just the usual watching of his favorite character shows",A moderate amount,A little,A moderate amount,A lot,A moderate amount,none of the kind you are indicating,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,69NsZpsuRx7UXhPl47VByW,36661704,1449,06/01/2010,Complete
2025-03-03 10:23:55,2025-03-03 10:27:18,IP Address,66.212.203.242,100,202,True,2025-03-03 10:27:18,R_5uQ72qy5os7fnC9,,,,,41.3495,-72.103,anonymous,EN,1,,0,5,,Agree,Male,01/10/1988,"American Indian or Alaska Native,Black or African American,White",,Some college,"$75,000 through $99,999",groton,connecticut,Yes,iPad tablet,Yes,Yes,Yes,no inappropriate video that are 18 years or above,180,,,,,,,,,,he has alot of positive energy after watching his shows.,A great deal,A great deal,A great deal,A lot,A great deal,"i do not allow my child to watch violent content at all, if i catch him doing so i would delete his account and app.",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,6uCdDxGfdhytl1K2VXzbj3,36661704,1449,01/10/1988,Complete
2025-03-03 10:34:28,2025-03-03 10:38:00,IP Address,73.7.27.196,100,211,True,2025-03-03 10:38:00,R_77pWNdXBv3rmmaw,,,,,33.9955,-84.6581,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,01/15/2016,White,Some college,Some college,"$75,000 through $99,999",Kennesaw,GA,Yes,iPhone,Yes,Yes,No,,360,,,,,"Bob the train, minecraft, cocomelon ",,,,,"happy ",A moderate amount,A lot,A lot,A lot,A lot,Roblox can get a bit rough,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,0xvUDFAdVLjVi9kHnANiIj,36661704,1449,01/15/2016,Complete
2025-03-03 10:33:29,2025-03-03 10:38:33,IP Address,,100,303,True,2025-03-03 10:38:33,R_5CgovKT8Bm2msFj,,,,,,,anonymous,EN,0.800000011920929,,0,0,,Agree,Male,07/21/2015,Hispanic or Latino/a,"Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$75,000 through $99,999",Ca,Ca,Yes,Android tablet,No,Yes,Yes,All,89,,,,,Faster feedback greatest useful faces haven't century,,,,,"Freddy Krueger and I got a hold of him to be a good abbets for the fucking gold period and I ",A little,A little,A little,None at all,A little,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,2PSnmyWKJe50xhDL9qEoR8,36661704,,07/21/2015,
2025-03-03 10:32:44,2025-03-03 10:50:11,IP Address,,100,1047,True,2025-03-03 10:50:12,R_5dNBEU45tuim00y,,,,,,,anonymous,EN,0.800000011920929,,0,0,,Agree,Male,02/02/2012,American Indian or Alaska Native,"Bachelor's degree (e.g. BA, BS)",Some college,"Less than $5,000","New York ",NY,Yes,Android phone,No,No,No,,3,,,,,,,,,,I don't think it's influenced by that,A little,A moderate amount,A little,A little,A moderate amount,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,015aPpjKIzGFQ0r5awnxDG,36661704,,02/02/2012,
2025-03-03 12:43:34,2025-03-03 12:50:22,IP Address,73.100.151.199,100,407,True,2025-03-03 12:50:22,R_5HAmfbt40FvX48m,,,,,42.9827,-70.9472,anonymous,EN,1,,0,0,,Agree,Male,04/05/1962,White,"Bachelor's degree (e.g. BA, BS)",Doctoral Degree,"$100,000 or greater",Fremont,NH,Yes,iPhone,No,No,No,,25,,,,,,,,,,Nothing at this time,A moderate amount,A moderate amount,A little,A lot,A little,None,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,07RcURkQAidjPvOt3K1YTd,36661704,1449,04/05/1962,Complete
2025-03-03 13:25:53,2025-03-03 13:29:21,IP Address,,100,207,True,2025-03-03 13:29:21,R_5Hc5lU5o4spx7E9,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,2010,White,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999",Lone jack,Mo,Yes,iPhone,Yes,Yes,No,,12,,,,,,,,,,"Not sure ",None at all,None at all,None at all,None at all,None at all,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,7ePx6wRgYTWfif4BjDQ1nZ,36661704,,2010,
2025-03-03 13:31:07,2025-03-03 13:35:48,IP Address,68.197.69.89,100,281,True,2025-03-03 13:35:49,R_63jYrdN8T39SqXk,,,,,40.5175,-74.3991,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,12112014,Asian,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",New Brunswick,New Jersey,Yes,iPad tablet,Yes,No,Yes,Channels blocked,45,,,,,,,,,,I am not concerned about anything but some times the ads are little adult centric,A moderate amount,A little,A lot,A lot,A lot,"Nothing ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,6SjdBmKnd4bGpNOPOkgxSJ,36661704,1449,12112014,Complete
2025-03-03 13:28:42,2025-03-03 13:38:26,IP Address,161.77.201.35,100,583,True,2025-03-03 13:38:27,R_6C46qfP6mWkCo4b,,,,,42.0986,-72.5931,anonymous,EN,0.5,,0,0,,Agree,Male,03/15/1986,White,Doctoral degree,Doctoral Degree,"$75,000 through $99,999",Maricopa,AZ,Yes,iPad tablet,Yes,Yes,Yes,Partner,60,F_2asjWZ1wV4gefku,Capture.PNG,4056,image/png,Mr beast Speed,F_23TCfwpfIYJ57bs,Capture.PNG,4056,image/png,good survey,A great deal,A great deal,A great deal,A lot,A great deal,good nice,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,5nWsdc6pD6bLZhRFpZiyny,36661704,1449,03/15/1986,Complete
2025-03-03 16:30:39,2025-03-03 16:33:59,IP Address,74.139.129.118,100,199,True,2025-03-03 16:33:59,R_5mPlbzQtC2pv9QQ,,,,,38.3955,-84.2906,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,07/10/2014,White,High school degree or equivalent,High school degree or equivalent,"$50,000 through $74,999",Joplin,Missouri,Yes,iPhone,Yes,No,No,,45,,,,,,,,,,No nothing at all,A moderate amount,A little,A moderate amount,A lot,A great deal,No no concerns,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,2icpcJZiTUo1bsV4QWZJer,36661704,1449,07/10/2014,Complete
2025-03-03 17:25:18,2025-03-03 17:30:59,IP Address,97.140.136.168,100,341,True,2025-03-03 17:31:00,R_3R2RCSpplRmEzQJ,,,,,35.2916,-80.8201,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,06/29/2014,Black or African American,Some college,Some college,"$100,000 or greater",Concord,NC,Yes,iPad tablet,No,,,,90,,,,,,,,,,"He turns into a monster ",A moderate amount,A moderate amount,A moderate amount,A lot,A lot,"No ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,2JoOT8pg4vrqSALjrc80w1,36661704,1449,06/29/2014,Complete
2025-03-03 20:53:18,2025-03-03 20:57:42,IP Address,,100,264,True,2025-03-03 20:57:42,R_5ve09QM46drPcDy,,,,,,,anonymous,EN,1,,0,0,,Agree,Female,08/12/1983,White,High school degree or equivalent,High school degree or equivalent,"$50,000 through $74,999",Marysville,ca,Yes,Android phone,Yes,Yes,No,,45,,,,,"dar mann, the royalty family,",,,,,that they enjoy watching good content,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,2uHYT9eMsjhA0cJCs2WBhO,36661704,,08/12/1983,
2025-03-03 21:24:18,2025-03-03 21:36:45,IP Address,174.242.34.228,100,746,True,2025-03-03 21:36:46,R_5lPH8b2j992KZxU,,,,,40.4422,-79.9927,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,9/11/2010,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",Lancaster,Ohio,Yes,iPad tablet,Yes,Yes,Yes,"Restricted content, Time limits, Limited search access",30,,,,,"PBS Kids, Blippi, Cocomelon, Ryan's World, Toy Story, Peppa Pig, Kidsongs, Sesame Street, National Geographic Kids, Super Simple Songs",F_z9k80xJGQvuXNDP,Screenshot_2.png,116986,image/png,"My child enjoys watching educational content, but sometimes gets overly focused on certain videos for long periods of time. I am concerned about ",A moderate amount,A lot,A lot,A lot,A lot,"Yes, I have had some concerns about content on YouTube, especially regarding certain videos that involve exaggerated or unrealistic scenarios, which could be confusing for my child. ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,5Q9JQFCweRG7Ehb46eftyV,36661704,1449,9/11/2010,Complete
2025-03-03 21:29:11,2025-03-03 21:38:52,IP Address,216.228.62.54,100,580,True,2025-03-03 21:38:52,R_5q47N9M70kmLDut,,,,,46.367,-104.2847,anonymous,EN,0.800000011920929,,0,0,,Agree,Male,4/28/1958,White,High school degree or equivalent,Some college,"$35,000 through $49,999","Plevna ",Mt,No,iPhone,No,,,,45,,,,,,,,,,"More hyper ",A little,None at all,A moderate amount,A lot,A little,Yes I have experience it,Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,4xmf0VkA5P8NTWJtXj0pPM,36661704,1449,4/28/1958,Complete
2025-03-03 21:25:45,2025-03-03 21:40:45,IP Address,,100,900,True,2025-03-03 21:40:45,R_1JtlUiCJS9GJimw,,,,,,,anonymous,EN,0.8999999761581421,,0,10,,Agree,Male,04/07/2008,Hispanic or Latino/a,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",Columbia,SC,Yes,iPhone,Yes,No,Yes,Overall.,130,,,,,"Nat Geo Kids, PBS Kids",,,,,I just want to know what's going on.,A moderate amount,A moderate amount,A lot,None at all,A lot,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,7puJyXe6t0YyAC04l84LtD,36661704,,04/07/2008,
2025-03-03 21:41:04,2025-03-03 21:41:18,IP Address,,100,14,True,2025-03-03 21:41:19,R_1IoAGrppk9B9RFT,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual32042-1126-Children8to13[AD]_Parent,2,Consent_1,,anonymous,.70,10,USA,220,2,3kmqYCDxuDTR7usVd73Hq5,36661704,,,
2025-03-03 22:29:25,2025-03-03 22:33:42,IP Address,,100,256,True,2025-03-03 22:33:42,R_32XulOcW7iZPJqZ,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,2007,White,Doctoral degree,"Master's degree (e.g. MA, MS)","$100,000 or greater","Los Angeles ",CA,Yes,iPhone,Yes,Yes,No,,70,,,,,"Music channel ",,,,,"Because it’s very good ",A great deal,A lot,A great deal,A great deal,A lot,,,Qual32042-1126-Children8to13[AD]_Parent,2,Attention Check,,anonymous,.70,10,USA,220,2,0iqCYpOqLaTSMkchOzcTQ9,36661704,,2007,
2025-03-03 22:59:03,2025-03-03 23:07:26,IP Address,174.231.134.33,100,503,True,2025-03-03 23:07:27,R_5FxraAlHLkakbIE,,,,,47.4448,-122.1194,anonymous,EN,0.699999988079071,,0,0,,Agree,Male,01012013,White,Doctoral degree,Doctoral Degree,"$100,000 or greater","United States ",NY,Yes,iPhone,Yes,Yes,Yes,Me as a person,60,,,,,Contrapoints,,,,,Not at all,A great deal,A great deal,A great deal,A lot,A great deal,"I have not experienced anything yet ",Agree,Qual32042-1126-Children8to13[AD]_Parent,,,,anonymous,.70,10,USA,220,,4yOWJDqmC1gHt2YwVVTUTZ,36661704,1449,01012013,Complete
