StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Pconsent_self,gender,bday#1_1,bday#2_1,bday#3_1,race_ethnicity_1,race_ethnicity_2,race_ethnicity_3,race_ethnicity_4,race_ethnicity_5,race_ethnicity_6,race_ethnicity_7,race_ethnicity_8,race_ethnicity_9,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Pdays,Ptime,Ptime_9_TEXT,Pfavorite,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
3/17/25 11:18,3/17/25 11:22,IP Address,100,272,True,3/17/25 11:23,R_70wqjtnkwtwvgTR,anonymous,EN,1,,0,0,,Agree,Female,September,4,2011,,,,,,,White,,,High school degree or equivalent,High school degree or equivalent,"$50,000 through $74,999",Gray me ,Me,Yes,Some other device,Yes,No,No,,6 days,2 hours or less,,Basketball highlights ,Happy,A little,A lot,A moderate amount,A lot,A lot,Na,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7px1fHsF5EllnfpadV28JZ,36661704,1449,,Complete
3/17/25 11:27,3/17/25 11:31,IP Address,100,207,True,3/17/25 11:31,R_5bjExcvFBVbmChX,anonymous,EN,0.899999976,,0,0,,Agree,Female,May,20,2015,,,,,,,White,,,Some college,"Bachelor's degree (e.g. BA, BS)","$100,000 or greater",San Antonio,TX,Yes,iPhone,No,,,,7 days,2 hours or less,,A for adley,Nothing,A lot,A lot,A moderate amount,A lot,A lot,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7JAYVtnCKWiqro22b0QMJy,36661704,1449,,Complete
3/17/25 11:27,3/17/25 11:32,IP Address,100,302,True,3/17/25 11:32,R_5ZADqozdEUmjswp,anonymous,EN,0.899999976,,0,10,,Agree,Male,February,9,2014,,,,,,,White,,,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",US,PA,Yes,iPhone,Yes,Yes,Yes,It seems like there might be some context missing from your question. Could you clarify or provide a bit more detail about what you're referring to.,5 days,More than 2 hours,,"I imagine they might enjoy something educational or fun, like science experiments or art projects. As for kids in general, YouTube channels like Cocomelon, Ryan's World, or science-focused ones like Mark Rober are super popular.","I don’t have children, but I understand that many parents observe various effects on their kids after watching YouTube. Some notice an increase in curiosity and creativity",A great deal,A lot,A moderate amount,A lot,A great deal,"I do understand why parents may worry about certain content on YouTube. Despite the platform offering child-friendly options like YouTube Kids, not all content is monitored perfectly, and inappropriate themes can sometimes slip through.",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7inG1Mdwfa2QRiUddAcs4H,36661704,1449,,Complete
3/17/25 11:35,3/17/25 11:38,IP Address,100,147,True,3/17/25 11:38,R_3ohEBJGkp897B0J,anonymous,EN,0.899999976,,0,10,,Agree,Male,March,10,2011,,,,,,,White,,,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",WI,Wi,Yes,iPhone,Yes,Yes,Yes,YES,7 days,More than 2 hours,,Very involve,Good to see,A great deal,A lot,A great deal,A lot,A great deal,A lot of see,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,3Y93qIEHL28mkJkqYyJFaJ,36661704,1449,,Complete
3/17/25 11:34,3/17/25 11:38,IP Address,100,233,True,3/17/25 11:38,R_50oOEm9Fx9gyeLC,anonymous,EN,0.5,,0,0,,Agree,Female,January,17,2013,,,Black or African American,,,,White,,,Some college,High school degree or equivalent,"$50,000 through $74,999",Prattville,AL,Yes,Android tablet,Yes,Yes,Yes,As many as possible,3 days,30 minutes or less,,Not sure,No,A little,A lot,A little,A lot,A little,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,4LLisvddzNbXgn8v2paRjd,36661704,1449,,Complete
3/17/25 11:44,3/17/25 11:47,IP Address,100,171,True,3/17/25 11:47,R_1YRLZ8YJ2gRKDxn,anonymous,EN,1,,0,0,,Agree,Female,August,10,2011,,,,,,,White,,,High school degree or equivalent,High school degree or equivalent,"Less than $5,000",Bellefontaine ,Ohio,Yes,Android phone,No,No,No,,7 days,1.5 hours or less,,Gangham Style,Learning how to make things,A moderate amount,A lot,A moderate amount,A lot,A great deal,No ,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1l3Sn3wBT1JhN5nuuThIHx,36661704,1449,,Complete
3/17/25 11:48,3/17/25 11:51,IP Address,100,203,True,3/17/25 11:51,R_7OPi6YYt1hj9VtV,anonymous,EN,0.699999988,,0,0,,Agree,Female,April,9,2014,,,,Hispanic or Latino/a,,,,,,Some college,Some college,"$75,000 through $99,999",birmingham,AL,Yes,Android tablet,Yes,Yes,Yes,age appropriate content controls,7 days,1 hour or less,,razorfist,nothing has surprised me so far,A great deal,A great deal,A great deal,A lot,A great deal,im concerned about all the swearing,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,71jOyesjSHtZJP2wsBpr6r,36661704,1449,,Complete
3/17/25 11:46,3/17/25 11:52,IP Address,100,324,True,3/17/25 11:52,R_5BfHtqk4NVfn9Mj,anonymous,EN,0.899999976,,0,0,,Agree,Female,April,14,2016,,,Black or African American,,,,,,,"Bachelor's degree (e.g. BA, BS)",High school degree or equivalent,"$25,000 through $34,999",Dillon ,South Carolina,Yes,Android tablet,Yes,No,No,,7 days,More than 2 hours,,Lanky box,She is fully focused on whatever she is watching ,A lot,A great deal,A great deal,A lot,A great deal,Some content contains bad language and violent tendencies ,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,6NKdAerDDwrncVLvE93yRS,36661704,1449,,Complete
3/17/25 11:55,3/17/25 11:58,IP Address,100,175,True,3/17/25 11:58,R_5PTN0lTiBewgqFI,anonymous,EN,0.899999976,,0,0,,Agree,Male,August,10,2012,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",Saint Paul ,Mn,Yes,iPhone,No,,No,,7 days,45 minutes or less,,Not sure,Nothing ,None at all,None at all,None at all,A lot,A moderate amount,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7e0H30JRqW8AlwRbhU5n4O,36661704,1449,,Complete
3/17/25 11:55,3/17/25 12:03,IP Address,100,433,True,3/17/25 12:03,R_5sN5WJcLytcdZst,anonymous,EN,1,,0,0,,Agree,Male,January,13,2011,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Middletown ,DE,Yes,iPhone,Yes,No,No,,4 days,1 hour or less,,"Drive Tribe (Clarkson, Hammond, May)",No difference in behavior. ,A lot,A lot,A moderate amount,A lot,A moderate amount,No I have not experienced this.,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,58hKV9oZw6e7SKQQ6gQ1eF,36661704,1449,,Complete
3/17/25 12:00,3/17/25 12:03,IP Address,100,169,True,3/17/25 12:03,R_5HA5pj4QLvDiISd,anonymous,EN,0.699999988,,0,0,,Agree,Male,January,1,2016,,,,,,,White,,,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",new york,new york,No,iPad tablet,Yes,Yes,No,yes,7 days,2 hours or less,,cn,,A great deal,A great deal,A lot,A lot,A great deal,yes vary good,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,355ik6Y3U69PiTEdjMzR8q,36661704,1449,,Complete
3/17/25 12:16,3/17/25 12:19,IP Address,100,204,True,3/17/25 12:19,R_6bB9EwW1ceiaLGp,anonymous,EN,0.800000012,,0,0,,Agree,Male,December,2,2011,,,,,,,White,,,High school degree or equivalent,High school degree or equivalent,"$16,000 through $24,999",Marshallville ,Oh,Yes,Android phone,No,,No,,2 days,2 hours or less,,Chad wild clay,Nothing ,A lot,A great deal,A lot,A lot,A lot,None ,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1hB4NI75ntC6twqP67vM6U,36661704,1449,,Complete
3/17/25 12:17,3/17/25 12:22,IP Address,100,273,True,3/17/25 12:22,R_3pQwPbldls28PDP,anonymous,EN,1,,0,0,,Agree,Female,September,20,2016,,,,Hispanic or Latino/a,,,,,,Some college,Some college,"$50,000 through $74,999",LANCASTER,CA,No,Some other device,No,No,No,,7 days,2 hours or less,,nico and cash,He picks up on the vocabulary and uses it.,A little,A moderate amount,A lot,A lot,A moderate amount,None that i have encountered. ,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2bHqkThnwUAxLocur3zgdf,36661704,1449,,Complete
3/17/25 12:22,3/17/25 12:26,IP Address,100,212,True,3/17/25 12:26,R_7CCHGoyIGpNK8a5,anonymous,EN,1,,0,0,,Agree,Male,September,2,2015,,,,,,,White,,,Some college,"Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Otsego,MN,No,Some other device,No,No,No,,2 days,45 minutes or less,,Minecraft,Throws fits after,None at all,A little,None at all,A lot,None at all,none,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2iot9jFptk0bhYxOCauk8v,36661704,1449,,Complete
3/17/25 12:23,3/17/25 12:26,IP Address,100,199,True,3/17/25 12:26,R_3fDunDtqdNrJibU,anonymous,EN,1,,0,0,,Agree,Female,September,29,2015,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)",Some college,"$75,000 through $99,999",Independence,Kentucky,Yes,iPhone,No,No,Yes,parental settings- not allowed to watch certain things,3 days,45 minutes or less,,mr beast,they are more annoying & matching the behaviors of those he just watched,A little,A lot,A moderate amount,A lot,A little,No i cant remeber specfic channels,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1Kuj0481PJPt7eW5H7pWJY,36661704,1449,,Complete
3/17/25 12:22,3/17/25 12:27,IP Address,100,293,True,3/17/25 12:27,R_11hPtUP6xRZ8moV,anonymous,EN,0.899999976,,0,0,,Agree,Male,February,13,2015,,,,,,,White,,,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater","Grand Rapids, MI",Michigan,No,iPad tablet,No,Yes,Yes,"Language, violence ",7 days,2 hours or less,,Ryan’s world,No concerns,A lot,A lot,A lot,A lot,A moderate amount,No concerns,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,6ScA9gOKPFO2O0Gp5BXHJl,36661704,1449,,Complete
3/17/25 12:21,3/17/25 12:33,IP Address,100,715,True,3/17/25 12:33,R_5oF5rlpPSWv2J90,anonymous,EN,1,,0,0,,Agree,Female,May,21,2011,,,,,,,White,,,Some college,Some college,"$50,000 through $74,999",Evansville,IN,Yes,Android phone,Yes,Yes,Yes,"time limit, and certain content",7 days,1.5 hours or less,,she just looks at different things she does not follow any one.,she acts the same as always after being on you tube,A lot,A great deal,A moderate amount,A lot,A moderate amount,my child only goes on sites that are age apropriat,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7EHj0Umz76XUQQspk74Kpr,36661704,1449,,Complete
3/17/25 12:14,3/17/25 12:35,IP Address,100,1270,True,3/17/25 12:35,R_3cbw3ITbL2HwiiZ,anonymous,EN,0.899999976,,0,0,,Agree,Male,January,25,2016,,,,,,,White,,,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",orlando,Florida,Yes,iPad tablet,Yes,Yes,No,,7 days,1.5 hours or less,,Mr beast,No nothing ,A lot,A little,A moderate amount,A lot,A moderate amount,No nothing,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1uir9Z6aiEbkUGHqWDTqmp,36661704,1449,,Complete
3/17/25 12:32,3/17/25 12:38,IP Address,100,345,True,3/17/25 12:38,R_3DYuPaSTdWZ3Cpn,anonymous,EN,1,,0,5,,Agree,Female,April,15,2015,,Asian,,,,,,,,Some college,Some college,"Less than $5,000",Phoenix,AZ,No,iPad tablet,No,,Yes,Parental control,7 days,More than 2 hours,,YouTube Kids,My child is not focused on other tasks,A lot,A moderate amount,A moderate amount,A lot,A little,I have not experienced any inappropriate contents when my child is using YouTube,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2acD8apXePBR93WRiPu7ck,36661704,1449,,Complete
3/17/25 12:23,3/17/25 12:42,IP Address,100,1163,True,3/17/25 12:42,R_1GKAeyy9ykj6F5n,anonymous,EN,1,,0,0,,Agree,Male,January,27,2016,American Indian or Alaska Native,,,,,,,,,,High school degree or equivalent,"$12,000 through $15,999",Lakeport,California,Yes,Android phone,Yes,No,No,,7 days,1.5 hours or less,,I don't know,he gets loud and acts funny sometimes,A little,A little,None at all,A lot,A little,I don't remember the channel but my son was listing to some serious cussing on youtube,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,4gOHw4WbuI1hYyL3FvkmqG,36661704,1449,,Complete
3/17/25 12:33,3/17/25 12:48,IP Address,100,908,True,3/17/25 12:48,R_1MQxSpQ618FW3hu,anonymous,EN,1,,0,0,,Agree,Female,August,6,2012,,,Black or African American,,,,,,,High school degree or equivalent,High school degree or equivalent,"$35,000 through $49,999",Philadelphia,PA,Yes,iPad tablet,No,No,No,,6 days,2 hours or less,,I don't know,She mostly uses Youtube for listening to music so her behavior is pretty chill,A little,A moderate amount,A little,A lot,A lot,I can't think of anything that was particularly disturbing,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,5ao53LYvz8nAQ9eEHVSHzz,36661704,1449,,Complete
3/17/25 12:38,3/17/25 12:49,IP Address,100,690,True,3/17/25 12:49,R_1yaC7Lkox9BnjRb,anonymous,EN,0.699999988,,0,0,,Agree,Male,December,18,2012,,Asian,,,,,White,,,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$35,000 through $49,999",Chesterton,Indiana,Yes,iPhone,No,No,No,,5 days,1.5 hours or less,,Spy Ninja,Sometimes she becomes to engrossed in it.,A moderate amount,A little,A lot,A lot,A moderate amount,"Honestly, I have not experienced this but I look to get informed and entertained on YouTube not offended.",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2kfgzB0CVLnKtdq5WYTRdU,36661704,1449,,Complete
3/17/25 12:43,3/17/25 12:52,IP Address,100,526,True,3/17/25 12:52,R_7JDBCCOB8OAtGpI,anonymous,EN,0.899999976,,0,0,,Agree,Male,September,24,2015,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Franklin,TN,Yes,Android tablet,No,No,No,,5 days,1 hour or less,,Dude perfect,None,A little,A lot,A moderate amount,A lot,A moderate amount,None observed,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,5iDmeWUCKkw7mLJhfofcgo,36661704,1449,,Complete
3/17/25 12:52,3/17/25 12:55,IP Address,100,214,True,3/17/25 12:55,R_3dZ1Drn3owUdF2s,anonymous,EN,0.800000012,,0,0,,Agree,Male,May,13,2011,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",Detroit,Michigan,Yes,Android phone,Yes,No,No,,7 days,More than 2 hours,,Mr beast,He is calm now,A little,A lot,A lot,A lot,A moderate amount,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2D35vwUB4Jm28f1kihOxqE,36661704,1449,,Complete
3/17/25 12:52,3/17/25 13:00,IP Address,100,460,True,3/17/25 13:00,R_5SqSU8vkzMs4l5Z,anonymous,EN,1,,0,0,,Agree,Female,December,4,2013,,,,,,,White,,,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999",New York,NY,Yes,iPhone,Yes,Yes,No,,7 days,2 hours or less,,Cartoon and kids channels ,Nothing special ,A little,A lot,A moderate amount,A lot,A great deal,"Yes, I’ve seen concerning content like excessive violence and inappropriate language in some gaming and animation channels.",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,0qSSS1OGOpaEsd5Q5ceu8G,36661704,1449,,Complete
3/17/25 12:57,3/17/25 13:00,IP Address,100,180,True,3/17/25 13:00,R_5kLI4xgWbsC8MOk,anonymous,EN,1,,0,0,,Agree,Female,June,14,2011,,,,,,,White,,,Some college,High school degree or equivalent,"$50,000 through $74,999",Wolcott ,CT,Yes,iPhone,No,,No,,3 days,2 hours or less,,Documentaries ,No concerns,A little,A moderate amount,A moderate amount,A lot,A lot,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,0lLbwEmS3rYlnG6uXkT8hH,36661704,1449,,Complete
3/17/25 13:02,3/17/25 13:06,IP Address,100,202,True,3/17/25 13:06,R_5hBdvXZXYRBcZjZ,anonymous,EN,0.800000012,,0,0,,Agree,Male,December,14,2018,,,,,,,White,,,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999",Phenix city,Al,Yes,Android phone,Yes,No,No,,7 days,2 hours or less,,Mr beast ,No,A little,A little,None at all,A lot,A great deal,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1LzHg6VIdd7ywBdiPr6pCQ,36661704,1449,,Complete
