StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Cconsent,age,days,Ctime,genre,genre_8_TEXT,shorts_days,shorts_time,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily_appear_1,homophily_appear_2,homophily_appear_3,homophily_appear_4,homophily_appear_5,homophily_behave_1,homophily_behave_2,homophily_behave_3,homophily_behave_4,homophily_behave_5,homophily_behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup_freq,outgroup_simple,regularities_1,regularities_2,regularities_3,regularities_4,regularities_5,regularities_6,regularities_7,friend,opp,gc,term,Q_BallotBoxStuffing,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS
3/17/25 11:08,3/17/25 11:12,IP Address,100,251,True,3/17/25 11:12,R_5ByfQDYOI4nX2ev,anonymous,EN,YES,12,7 days,30 minutes or less,Makeup/Fashion,,7 days,45 minutes or less,Really agree,Really agree,Agree,Agree,Joe smith,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Really agree,Agree,Really agree,Agree,Agree,Very often,More people who DO have the same skin color as me,Really agree,Agree,Really agree,Really agree,Really agree,Agree,Agree,Kid 8,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2iuKI86nunNY14iV0xcaIP,36661704,1449
3/17/25 11:20,3/17/25 11:23,IP Address,100,213,True,3/17/25 11:23,R_6iqaxE56PeGuZJF,anonymous,EN,YES,14,7 days,More than 2 hours,Gaming/Let's Play,,7 days,More than 2 hours,Really disagree,Really agree,Really agree,Really agree,Kai Cenat ,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Never,More people who DO have the same skin color as me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7t7REJIlln5x1NKF0gIlJF,36661704,1449
3/17/25 11:22,3/17/25 11:27,IP Address,100,250,True,3/17/25 11:27,R_795fLw7p9KWOLPX,anonymous,EN,YES,13,6 days,2 hours or less,Sports,,2 days,15 minutes or less,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Ab camping,I don't know,Disagree,I don't know,I don't know,Disagree,Disagree,Disagree,Disagree,I don't know,Agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Often,I don't know,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7px1fHsF5EllnfpadV28JZ,36661704,1449
3/17/25 11:31,3/17/25 11:35,IP Address,100,257,True,3/17/25 11:35,R_6Ol6fzaOF5AQ4qn,anonymous,EN,YES,9,7 days,2 hours or less,Gaming/Let's Play,,7 days,1.5 hours or less,Agree,Agree,Disagree,Agree,A for adley,Agree,I don't know,Agree,Agree,Disagree,I don't know,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Often,I don't know,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Kid 4,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7JAYVtnCKWiqro22b0QMJy,36661704,1449
3/17/25 11:38,3/17/25 11:39,IP Address,100,95,True,3/17/25 11:40,R_76kTIWtEoLcu8ce,anonymous,EN,YES,13,7 days,More than 2 hours,Educational,,7 days,2 hours or less,Agree,Really agree,Agree,Really agree,Joni,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Very often,More people who DO have the same skin color as me,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Kid 8,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,3Y93qIEHL28mkJkqYyJFaJ,36661704,1449
3/17/25 11:51,3/17/25 11:55,IP Address,100,199,True,3/17/25 11:55,R_6XWINr2zTQar9wB,anonymous,EN,YES,10,7 days,1 hour or less,Gaming/Let's Play,,7 days,30 minutes or less,Disagree,Agree,Really disagree,Agree,razorfist,Disagree,Disagree,Disagree,I don't know,Agree,Agree,Disagree,Disagree,I don't know,Agree,Agree,Agree,Agree,Agree,Really agree,Really agree,Often,More people who DO NOT have the same skin color as me,Disagree,Really disagree,Really agree,Agree,Agree,Agree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,71jOyesjSHtZJP2wsBpr6r,36661704,1449
3/17/25 11:52,3/17/25 11:56,IP Address,100,271,True,3/17/25 11:56,R_1dGZwhDxndPIKH0,anonymous,EN,YES,8,7 days,More than 2 hours,Gaming/Let's Play,,4 days,1 hour or less,Agree,Really agree,Neither agree nor disagree,Agree,Lanky box ,Agree,Really agree,Agree,Really agree,Really agree,Agree,Agree,Really agree,Agree,Agree,Really agree,Agree,I don't know,Really agree,Agree,Agree,Sometimes,More people who DO NOT have the same skin color as me,Agree,Agree,Really agree,Neither agree nor disagree,Agree,Really agree,Agree,Kid 8,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,6NKdAerDDwrncVLvE93yRS,36661704,1449
3/17/25 11:58,3/17/25 12:01,IP Address,100,224,True,3/17/25 12:01,R_6hFoeNXPv4C0ULL,anonymous,EN,YES,12,7 days,30 minutes or less,Sports,,7 days,30 minutes or less,Disagree,Disagree,Disagree,Disagree,Mr Beast,Disagree,Disagree,Agree,Disagree,Disagree,I don't know,Disagree,Disagree,I don't know,Agree,Agree,I don't know,Agree,Agree,Agree,Disagree,Rarely,More people who DO have the same skin color as me,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 5,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7e0H30JRqW8AlwRbhU5n4O,36661704,1449
3/17/25 12:03,3/17/25 12:11,IP Address,100,485,True,3/17/25 12:11,R_5fN4oJrXXz3n21u,anonymous,EN,YES,14,4 days,1 hour or less,Other,,Never,,Agree,Agree,Agree,Agree,Richard Hammond,Agree,Agree,Really agree,Disagree,Agree,Agree,Disagree,Really disagree,I don't know,Agree,I don't know,Agree,Agree,I don't know,Agree,Disagree,Sometimes,More people who DO have the same skin color as me,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Kid 9,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,58hKV9oZw6e7SKQQ6gQ1eF,36661704,1449
3/17/25 12:19,3/17/25 12:22,IP Address,100,206,True,3/17/25 12:22,R_3HHpd30Y70CA0oK,anonymous,EN,YES,13,2 days,,,,,,Really agree,Really agree,Disagree,Agree,Chad wild clay ,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Sometimes,I don't know,Really disagree,Really disagree,Really agree,Really disagree,Agree,Neither agree nor disagree,Agree,Kid 3,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,1hB4NI75ntC6twqP67vM6U,36661704,1449
3/17/25 12:22,3/17/25 12:25,IP Address,100,215,True,3/17/25 12:25,R_7bwk4m5xJpboeZ3,anonymous,EN,YES,8,7 days,2 hours or less,Gaming/Let's Play,,7 days,2 hours or less,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Nico and Cash,Really disagree,Disagree,I don't know,Agree,Really agree,Really agree,Agree,I don't know,Disagree,Agree,I don't know,Really agree,Agree,I don't know,Really agree,Agree,Very often,I don't know,Neither agree nor disagree,Disagree,Really agree,Really disagree,Really agree,Neither agree nor disagree,Neither agree nor disagree,Kid 3,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2bHqkThnwUAxLocur3zgdf,36661704,1449
3/17/25 12:26,3/17/25 12:30,IP Address,100,259,True,3/17/25 12:30,R_3f1jlLIf457XD3f,anonymous,EN,YES,9,4 days,30 minutes or less,Gaming/Let's Play,,3 days,30 minutes or less,Really disagree,Disagree,Really disagree,Really disagree,Dudeperfect,Really disagree,Really disagree,I don't know,Disagree,Disagree,I don't know,Agree,I don't know,Disagree,Agree,Agree,Agree,I don't know,Disagree,Disagree,Agree,Sometimes,I don't know,Really disagree,Really disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Kid 3,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2iot9jFptk0bhYxOCauk8v,36661704,1449
3/17/25 12:27,3/17/25 12:34,IP Address,100,414,True,3/17/25 12:34,R_6MLkuxLmyzkDvvP,anonymous,EN,YES,10,7 days,More than 2 hours,Educational,,Never,,Disagree,Agree,Disagree,Agree,Ryan,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Often,I don't know,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,6ScA9gOKPFO2O0Gp5BXHJl,36661704,1449
3/17/25 12:33,3/17/25 12:42,IP Address,100,504,True,3/17/25 12:42,R_1ME5OK9woHMkDgl,anonymous,EN,YES,13,7 days,1.5 hours or less,Makeup/Fashion,,7 days,1.5 hours or less,Really disagree,Really disagree,Really disagree,Really disagree,I dont have one,Agree,I don't know,I don't know,Agree,Disagree,I don't know,Disagree,I don't know,I don't know,Agree,Really agree,Agree,Agree,Agree,Agree,I don't know,Often,I don't know,Really disagree,Really disagree,Really agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 3,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,7EHj0Umz76XUQQspk74Kpr,36661704,1449
3/17/25 12:38,3/17/25 12:44,IP Address,100,386,True,3/17/25 12:44,R_3sT6xSPv4GOAA4B,anonymous,EN,YES,10,7 days,2 hours or less,Gaming/Let's Play,,7 days,45 minutes or less,Disagree,Disagree,Really disagree,Disagree,Mr. Beast,Disagree,Disagree,Disagree,Disagree,Disagree,I don't know,Agree,Agree,Disagree,Agree,Really agree,Agree,Agree,Agree,Really agree,I don't know,Often,More people who DO NOT have the same skin color as me,Agree,Neither agree nor disagree,Really agree,Really agree,Agree,Neither agree nor disagree,Really agree,Kid 6,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2acD8apXePBR93WRiPu7ck,36661704,1449
3/17/25 12:42,3/17/25 12:51,IP Address,100,526,True,3/17/25 12:51,R_5nOhd2SQZDabe98,anonymous,EN,YES,9,7 days,45 minutes or less,,,7 days,1 hour or less,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,mrbazookaa,Disagree,I don't know,Disagree,I don't know,Disagree,I don't know,Disagree,Disagree,I don't know,Agree,I don't know,Agree,I don't know,Agree,I don't know,Agree,Often,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Kid 3,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,4gOHw4WbuI1hYyL3FvkmqG,36661704,1449
3/17/25 12:49,3/17/25 12:57,IP Address,100,472,True,3/17/25 12:57,R_6QLWAN2xxlv0ie0,anonymous,EN,YES,12,5 days,1.5 hours or less,Compilations,,4 days,30 minutes or less,Disagree,Disagree,Disagree,Disagree,Jojo siwa,I don't know,Agree,Agree,Agree,I don't know,Disagree,Agree,I don't know,Agree,Agree,Agree,Disagree,Agree,Agree,I don't know,Agree,Sometimes,More people who DO NOT have the same skin color as me,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2kfgzB0CVLnKtdq5WYTRdU,36661704,1449
3/17/25 12:55,3/17/25 12:57,IP Address,100,124,True,3/17/25 12:57,R_3p9nnEfAexK9All,anonymous,EN,YES,13,7 days,More than 2 hours,Sports,,7 days,More than 2 hours,Agree,Agree,Agree,Really agree,Mr beast,Agree,Really agree,I don't know,Agree,Agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Agree,Agree,Agree,Agree,Really agree,Very often,I don't know,Really agree,Agree,Really agree,Agree,Really agree,Agree,Really agree,Kid 9,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,2D35vwUB4Jm28f1kihOxqE,36661704,1449
3/17/25 13:00,3/17/25 13:03,IP Address,100,204,True,3/17/25 13:03,R_5f71lHY82Ptrfmk,anonymous,EN,YES,12,7 days,2 hours or less,Educational,,7 days,More than 2 hours,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Blippi,I don't know,I don't know,Agree,Agree,I don't know,I don't know,Agree,Agree,I don't know,Agree,I don't know,I don't know,Agree,Really agree,Agree,Agree,Often,More people who DO NOT have the same skin color as me,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Kid 6,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,0qSSS1OGOpaEsd5Q5ceu8G,36661704,1449
3/17/25 13:00,3/17/25 13:04,IP Address,100,231,True,3/17/25 13:04,R_6O3bmSD4JaAcjX4,anonymous,EN,YES,13,4 days,1 hour or less,Compilations,,1 day,45 minutes or less,Agree,Agree,Disagree,Disagree,Tana Mongoose,Disagree,I don't know,Agree,Agree,Disagree,Agree,Agree,I don't know,Agree,Agree,Agree,Agree,Agree,I don't know,Agree,Agree,Often,I don't know,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Kid 2,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,0lLbwEmS3rYlnG6uXkT8hH,36661704,1449
3/17/25 12:48,3/17/25 13:08,IP Address,100,1180,True,3/17/25 13:08,R_76DG1A5DbGF5sjv,anonymous,EN,YES,12,5 days,2 hours or less,Gaming/Let's Play,,2 days,15 minutes or less,Disagree,Neither agree nor disagree,Agree,Disagree,I don't have one,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Often,I don't know,Disagree,Really disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Kid 8,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,5ao53LYvz8nAQ9eEHVSHzz,36661704,1449
3/17/25 13:06,3/17/25 13:10,IP Address,100,235,True,3/17/25 13:10,R_50BSp36M1Cx6bkJ,anonymous,EN,YES,6,7 days,2 hours or less,Gaming/Let's Play,,5 days,30 minutes or less,Really disagree,Disagree,Really disagree,Really disagree,Mr beast,Disagree,Disagree,Disagree,Disagree,Disagree,I don't know,Agree,Disagree,Disagree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Very often,More people who DO have the same skin color as me,Neither agree nor disagree,Disagree,Agree,Disagree,Really agree,Disagree,Really agree,Kid 9,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,1LzHg6VIdd7ywBdiPr6pCQ,36661704,1449
3/17/25 13:27,3/17/25 13:31,IP Address,100,252,True,3/17/25 13:31,R_39uXf9ofwCU6ZY5,anonymous,EN,YES,12,7 days,30 minutes or less,Vlogs,,7 days,15 minutes or less,Really disagree,Really disagree,Really disagree,Disagree,Mr Beast,Disagree,Disagree,Agree,Agree,Agree,I don't know,Disagree,I don't know,I don't know,Agree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Often,I don't know,Disagree,Really disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Kid 3,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,5G5VsiBxsd69AQQyrwQr4M,36661704,1449
3/17/25 13:28,3/17/25 13:32,IP Address,100,233,True,3/17/25 13:32,R_3fkcsodaWI8VQVX,anonymous,EN,YES,8,7 days,45 minutes or less,Vlogs,,6 days,45 minutes or less,Really agree,Agree,Really disagree,Really agree,Blippi,Agree,Agree,Agree,Agree,Agree,Really agree,Really agree,Really agree,Really agree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Very often,More people who DO have the same skin color as me,Neither agree nor disagree,Really disagree,Agree,Really disagree,Really agree,Really agree,Really agree,Kid 9,Qual32042-1126-Children8to13[AD]_Child_New,1,,,,,,,anonymous,.70,10,USA,220,,0vgmqRlCAXmVUuUv1kut5q,36661704,1449
