StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Pconsent_self,gender,bday#1_1,bday#2_1,bday#3_1,race_ethnicity,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Pdays,Ptime,Ptime_9_TEXT,Pfavorite,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp,gc,term,Q_BallotBoxStuffing,Q_CHL,expected_ir,expected_loi,Country,expected_n,tg,transaction_id,SVID,PS,Child_age,Response
2025-03-17 10:42:56,2025-03-17 10:48:00,IP Address,173.224.27.78,100,303,True,2025-03-17 10:48:00,R_6rAlfJVqowCqhxY,,,,,42.6225,-97.2645,anonymous,EN,1,,0,0,,Agree,Female,August,14,2011,White,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999","hartington, ne",Nebraska,No,Some other device,Yes,Yes,Yes,i feel cool,7 days,15 minutes or less,,life,great,A great deal,A lot,A lot,A lot,A great deal,i have never saw this before,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1SAgl8mZPpuL1XhCCIx1wx,36661704,1449,,Complete
2025-03-17 10:50:50,2025-03-17 11:01:29,IP Address,,100,638,True,2025-03-17 11:01:30,R_5EbIofMZdFpEVwM,,,,,,,anonymous,EN,1,,0,0,,Agree,Male,April,25,2014,Black or African American,"Bachelor's degree (e.g. BA, BS)",Some college,"$35,000 through $49,999",Dayton,Ohio,Yes,Android phone,No,No,Yes,none,7 days,More than 2 hours,,none,none,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,7LGuEl2mfUDIB3O9osY9W0,36661704,,,
2025-03-17 11:00:08,2025-03-17 11:08:33,IP Address,172.56.218.112,100,504,True,2025-03-17 11:08:33,R_3Vmty9SebfCbGTZ,,,,,40.0149,-75.1439,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,April,11,2012,White,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999","Douglassville ",Pa,Yes,iPad tablet,Yes,Yes,Yes,"Parental control ",7 days,2 hours or less,,John smith,"He acts happier ",A great deal,A great deal,A great deal,A lot,A great deal,"Yes he’s learning ",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,2iuKI86nunNY14iV0xcaIP,36661704,1449,,Complete
2025-03-17 10:57:02,2025-03-17 11:10:33,IP Address,107.77.216.209,100,810,True,2025-03-17 11:10:33,R_64vYH522wgcfdV6,,,,,27.9528,-81.727,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,April,19,2016,White,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Orlando,Florida,Yes,iPad tablet,No,No,No,Contorl,5 days,45 minutes or less,,PBs,it is a great impact,A great deal,A great deal,A lot,A lot,A great deal,no conerns,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,6IEgH3fRxBHzy9zN6cX9UY,36661704,1449,,Complete
2025-03-17 11:16:05,2025-03-17 11:18:01,IP Address,,100,116,True,2025-03-17 11:18:02,R_1nOqaLjApH9pezT,,,,,,,anonymous,EN,0.800000011920929,,0,0,,Agree,Female,November,7,2011,American Indian or Alaska Native,High school degree or equivalent,Less than high school,"Less than $5,000","Fairmont ",NC,Yes,Android phone,No,No,Yes,"Don't know ",4 days,1 hour or less,,"Don't know ","Good ",A little,A moderate amount,A little,A moderate amount,A little,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,2PTHutgCkQQ2XqkQrpA7SM,36661704,,,
2025-03-17 10:47:55,2025-03-17 11:19:15,IP Address,,100,1880,True,2025-03-17 11:19:16,R_34kMPgroKCW3UV8,,,,,,,anonymous,EN,1,,0,5,,Agree,Female,February,22,2014,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",somerville,NJ,Yes,Some other device,No,Yes,Yes,parent,3 days,1 hour or less,,"I don't know ",nothing,A lot,A lot,A great deal,A great deal,A great deal,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,77GheteGSk17tMFDD8ww5M,36661704,,,
2025-03-17 11:17:14,2025-03-17 11:20:00,IP Address,76.143.88.165,100,166,True,2025-03-17 11:20:01,R_1G9z0gOk2DpCwWf,,,,,29.7009,-95.5885,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,February,16,2011,Black or African American,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999",Houston,Texas,Yes,iPad tablet,Yes,No,No,,7 days,More than 2 hours,,"Kai Cenat ","She's more relaxed ",A great deal,A great deal,A great deal,A lot,A great deal,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7t7REJIlln5x1NKF0gIlJF,36661704,1449,,Complete
2025-03-17 11:18:19,2025-03-17 11:22:24,IP Address,,100,245,True,2025-03-17 11:22:25,R_5GGFoxp071yHy2B,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,September,14,2011,Hispanic or Latino/a,Less than high school,"Bachelor's degree (e.g. BA, BS)","$12,000 through $15,999",michigan,michigan,Yes,Android tablet,Yes,Yes,No,yes,4 days,45 minutes or less,,no,yes,A lot,A little,A moderate amount,A great deal,A lot,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,2jzEbsdtUwL9FL5gU0NyYx,36661704,,,
2025-03-17 11:18:26,2025-03-17 11:22:59,IP Address,216.220.250.215,100,272,True,2025-03-17 11:22:59,R_70wqjtnkwtwvgTR,,,,,43.8856,-70.3317,anonymous,EN,1,,0,0,,Agree,Female,September,4,2011,White,High school degree or equivalent,High school degree or equivalent,"$50,000 through $74,999","Gray me ",Me,Yes,Some other device,Yes,No,No,,6 days,2 hours or less,,"Basketball highlights ",Happy,A little,A lot,A moderate amount,A lot,A lot,Na,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7px1fHsF5EllnfpadV28JZ,36661704,1449,,Complete
2025-03-17 11:18:06,2025-03-17 11:23:26,IP Address,76.240.83.195,100,319,True,2025-03-17 11:23:26,R_67NmxNSbzD2tugu,,,,,34.1093,-83.7627,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,June,16,2011,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",Norcross,GA,Yes,iPad tablet,Yes,Yes,Yes,Parental controls,7 days,45 minutes or less,,Ryan's World,"Children may show excitement, but concerns about screen time and content arise.",A lot,A lot,A great deal,A lot,A great deal,"Parents may worry about inappropriate language, violence, or negative stereotypes in videos.",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,08yfMvP05x6qGBitV34KXd,36661704,1449,,Complete
2025-03-17 11:24:20,2025-03-17 11:26:57,IP Address,,100,157,True,2025-03-17 11:26:57,R_7FCJI7BsiASeIRs,,,,,,,anonymous,EN,0.800000011920929,,0,0,,Agree,Male,April,15,2013,White,Some college,Some college,"$25,000 through $34,999","Pittsburgh ",PA,Yes,Android phone,Yes,Yes,No,,4 days,2 hours or less,,"Mr Beast ","Nothing particular at the moment ",A little,A little,A lot,A little,A little,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,5mL9qVRUPLCAi1NpTmNHHw,36661704,,,
2025-03-17 11:27:48,2025-03-17 11:31:16,IP Address,136.50.92.162,100,207,True,2025-03-17 11:31:16,R_5bjExcvFBVbmChX,,,,,29.5,-98.6744,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,May,20,2015,White,Some college,"Bachelor's degree (e.g. BA, BS)","$100,000 or greater",San Antonio,TX,Yes,iPhone,No,,,,7 days,2 hours or less,,A for adley,Nothing,A lot,A lot,A moderate amount,A lot,A lot,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7JAYVtnCKWiqro22b0QMJy,36661704,1449,,Complete
2025-03-17 11:27:28,2025-03-17 11:32:31,IP Address,167.253.80.24,100,302,True,2025-03-17 11:32:32,R_5ZADqozdEUmjswp,,,,,37.751,-97.822,anonymous,EN,0.8999999761581421,,0,10,,Agree,Male,February,9,2014,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",US,PA,Yes,iPhone,Yes,Yes,Yes,It seems like there might be some context missing from your question. Could you clarify or provide a bit more detail about what you're referring to.,5 days,More than 2 hours,,"I imagine they might enjoy something educational or fun, like science experiments or art projects. As for kids in general, YouTube channels like Cocomelon, Ryan's World, or science-focused ones like Mark Rober are super popular.","I don’t have children, but I understand that many parents observe various effects on their kids after watching YouTube. Some notice an increase in curiosity and creativity",A great deal,A lot,A moderate amount,A lot,A great deal,"I do understand why parents may worry about certain content on YouTube. Despite the platform offering child-friendly options like YouTube Kids, not all content is monitored perfectly, and inappropriate themes can sometimes slip through.",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7inG1Mdwfa2QRiUddAcs4H,36661704,1449,,Complete
2025-03-17 11:35:56,2025-03-17 11:38:24,IP Address,76.250.140.205,100,147,True,2025-03-17 11:38:24,R_3ohEBJGkp897B0J,,,,,42.9923,-87.9932,anonymous,EN,0.8999999761581421,,0,10,,Agree,Male,March,10,2011,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",WI,Wi,Yes,iPhone,Yes,Yes,Yes,YES,7 days,More than 2 hours,,Very involve,Good to see,A great deal,A lot,A great deal,A lot,A great deal,A lot of see,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,3Y93qIEHL28mkJkqYyJFaJ,36661704,1449,,Complete
2025-03-17 11:34:38,2025-03-17 11:38:31,IP Address,68.190.25.191,100,233,True,2025-03-17 11:38:31,R_50oOEm9Fx9gyeLC,,,,,32.3151,-86.2449,anonymous,EN,0.5,,0,0,,Agree,Female,January,17,2013,"Black or African American,White",Some college,High school degree or equivalent,"$50,000 through $74,999",Prattville,AL,Yes,Android tablet,Yes,Yes,Yes,As many as possible,3 days,30 minutes or less,,Not sure,No,A little,A lot,A little,A lot,A little,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,4LLisvddzNbXgn8v2paRjd,36661704,1449,,Complete
2025-03-17 11:44:39,2025-03-17 11:47:30,IP Address,174.101.19.196,100,171,True,2025-03-17 11:47:31,R_1YRLZ8YJ2gRKDxn,,,,,40.3626,-83.7565,anonymous,EN,1,,0,0,,Agree,Female,August,10,2011,White,High school degree or equivalent,High school degree or equivalent,"Less than $5,000","Bellefontaine ",Ohio,Yes,Android phone,No,No,No,,7 days,1.5 hours or less,,Gangham Style,Learning how to make things,A moderate amount,A lot,A moderate amount,A lot,A great deal,"No ",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,1l3Sn3wBT1JhN5nuuThIHx,36661704,1449,,Complete
2025-03-17 11:45:30,2025-03-17 11:48:51,IP Address,,100,201,True,2025-03-17 11:48:51,R_33f2Dnwso00YNEf,,,,,,,anonymous,EN,0.8999999761581421,,0,30,,Agree,Male,March,12,2018,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$5,000 through $11,999",ca,ca,Yes,iPhone,Yes,Yes,Yes,good,6 days,1 hour or less,,carton,no,A great deal,A great deal,A great deal,A great deal,A great deal,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,7k9ZViftdmFj5RURZvkiRC,36661704,,,
2025-03-17 11:48:23,2025-03-17 11:51:46,IP Address,96.37.133.202,100,203,True,2025-03-17 11:51:46,R_7OPi6YYt1hj9VtV,,,,,33.1007,-86.8642,anonymous,EN,0.699999988079071,,0,0,,Agree,Female,April,9,2014,Hispanic or Latino/a,Some college,Some college,"$75,000 through $99,999",birmingham,AL,Yes,Android tablet,Yes,Yes,Yes,age appropriate content controls,7 days,1 hour or less,,razorfist,nothing has surprised me so far,A great deal,A great deal,A great deal,A lot,A great deal,im concerned about all the swearing,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,71jOyesjSHtZJP2wsBpr6r,36661704,1449,,Complete
2025-03-17 11:46:43,2025-03-17 11:52:07,IP Address,172.59.219.206,100,324,True,2025-03-17 11:52:08,R_5BfHtqk4NVfn9Mj,,,,,35.1947,-80.744,anonymous,EN,0.8999999761581421,,0,0,,Agree,Female,April,14,2016,Black or African American,"Bachelor's degree (e.g. BA, BS)",High school degree or equivalent,"$25,000 through $34,999","Dillon ",South Carolina,Yes,Android tablet,Yes,No,No,,7 days,More than 2 hours,,Lanky box,"She is fully focused on whatever she is watching ",A lot,A great deal,A great deal,A lot,A great deal,"Some content contains bad language and violent tendencies ",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,6NKdAerDDwrncVLvE93yRS,36661704,1449,,Complete
2025-03-17 11:49:33,2025-03-17 11:53:54,IP Address,,100,260,True,2025-03-17 11:53:54,R_3dg0PggDgMDk3Ez,,,,,,,anonymous,EN,1,,0,0,,Agree,Male,January,14,2015,Native Hawaiian or Other Pacific Islander,High school degree or equivalent,High school degree or equivalent,"$35,000 through $49,999",Taylor,AZ,No,iPhone,No,,No,,2 days,2 hours or less,,Various,No changes at all,A little,A lot,A little,A lot,A lot,No I have not,Disagree,Qual32042-1126-Children8to13[AD]_Parent_New,2,Consent 2_Child,,anonymous,.70,10,USA,220,2,2lrzBxhZoE5q7vX0is9d5H,36661704,,,
2025-03-17 11:50:55,2025-03-17 11:55:21,IP Address,,100,265,True,2025-03-17 11:55:21,R_75NoIkowqHXebJV,,,,,,,anonymous,EN,0.8999999761581421,,0,25,,Agree,Male,January,1,2013,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",very good,Tennessee,No,iPhone,Yes,Yes,Yes,very good,7 days,More than 2 hours,,very good,,A lot,A lot,A great deal,A great deal,A lot,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,5HM2d6HVkMgM9tmfeTqk2Z,36661704,,,
2025-03-17 11:52:40,2025-03-17 11:55:53,IP Address,,100,192,True,2025-03-17 11:55:54,R_6CrKnlm3Os24N78,,,,,,,anonymous,EN,0.10000000149011612,,0,0,,Agree,Male,October,3,2016,White,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",Germantown,maryland,Yes,Android tablet,No,No,Yes,parental controls,7 days,1 hour or less,,cartoon,no,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,,,Qual32042-1126-Children8to13[AD]_Parent_New,2,Attention Check,,anonymous,.70,10,USA,220,2,2TXbptV3twyLEWaK94Aimd,36661704,,,
2025-03-17 11:55:04,2025-03-17 11:58:00,IP Address,174.213.244.48,100,175,True,2025-03-17 11:58:00,R_5PTN0lTiBewgqFI,,,,,44.9005,-93.2885,anonymous,EN,0.8999999761581421,,0,0,,Agree,Male,August,10,2012,White,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999","Saint Paul ",Mn,Yes,iPhone,No,,No,,7 days,45 minutes or less,,Not sure,"Nothing ",None at all,None at all,None at all,A lot,A moderate amount,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,,,,anonymous,.70,10,USA,220,,7e0H30JRqW8AlwRbhU5n4O,36661704,1449,,Complete
