StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Cconsent,PID,days,Ctime,genre,genre_8_TEXT,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily-appear_1,homophily-appear_2,homophily-appear_3,homophily-appear_4,homophily-appear_5,homophily-behave_1,homophily-behave_2,homophily-behave_3,homophily-behave_4,homophily-behave_5,homophily-behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup-freq,outgroup-simple,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6,behavior_7,friend
2025-02-25 14:59:36,2025-02-25 15:03:35,IP Address,128.135.204.62,100,239,True,2025-02-25 15:03:36,R_5GOMDMFHXyCGPVi,,,,,41.7821,-87.6046,anonymous,EN,YES,10,3 to 4 days a week,More than 2 hours,Other,Gaming,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Ruben Sim,Disagree,Disagree,I don't know,Agree,Disagree,Agree,Really agree,Really agree,Agree,Agree,Really agree,Agree,Really agree,I don't know,Agree,Really agree,Sometimes,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Kid 4
2025-02-25 15:59:05,2025-02-25 16:01:55,IP Address,128.135.204.62,100,169,True,2025-02-25 16:01:56,R_3Of612lfmevMlmh,,,,,41.7821,-87.6046,anonymous,EN,YES,11,1 to 2 days a week,About 1 and 1/2 hours a day,Sports,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Mr. Beast,Agree,Agree,Really agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,I don't know,I don't know,Agree,Disagree,Agree,I don't know,Rarely,More people who DO have the same skin color as me,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Kid 6
2025-02-25 16:05:10,2025-02-25 16:08:26,IP Address,128.135.204.62,100,195,True,2025-02-25 16:08:26,R_1HYp2Za5JcEsiXN,,,,,41.7821,-87.6046,anonymous,EN,YES,12,5 to 6 days a week,More than 2 hours,Makeup/Fashion,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Kathleen Lights,Really agree,Really agree,Really agree,Disagree,Disagree,Disagree,Disagree,I don't know,Disagree,Agree,Agree,I don't know,Agree,I don't know,Agree,Disagree,Never,More people who DO have the same skin color as me,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Kid 2
2025-02-25 16:13:40,2025-02-25 16:17:36,IP Address,128.135.204.62,100,235,True,2025-02-25 16:17:36,R_7D2CKwIeRxbARjG,,,,,41.7821,-87.6046,anonymous,EN,YES,13,3 to 4 days a week,About 30 minutes a day,Educational,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Aumsum's Science,I don't know,I don't know,I don't know,I don't know,I don't know,Agree,Really agree,I don't know,I don't know,Agree,I don't know,Agree,I don't know,I don't know,Agree,Really agree,Often,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Kid 7
2025-02-25 18:51:05,2025-02-25 18:55:57,IP Address,73.36.161.233,100,292,True,2025-02-25 18:55:58,R_6L1GhR05AiOpZEB,,,,,41.8018,-87.5993,anonymous,EN,YES,14,1 to 2 days a week,About 15 minutes a day,Other,True crime,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Rotten Mango,Really disagree,Really disagree,Really disagree,Agree,Disagree,Agree,I don't know,I don't know,Agree,Agree,Really agree,Agree,Really agree,I don't know,Agree,Agree,Often,More people who DO NOT have the same skin color as me,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Kid 4
2025-02-25 19:11:08,2025-02-25 19:16:12,IP Address,73.36.161.233,100,304,True,2025-02-25 19:16:13,R_1jKK5c6saCVseJ3,,,,,41.8018,-87.5993,anonymous,EN,YES,15,Never,,Other,none,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,don't have one,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Never,I don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 2
2025-02-25 19:16:18,2025-02-25 19:23:54,IP Address,73.36.161.233,100,456,True,2025-02-25 19:23:55,R_3FKdNL6BBsbIYQw,,,,,41.8018,-87.5993,anonymous,EN,YES,16,Every day,About 1 hour a day,Makeup/Fashion,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Emma Chamberlain,Disagree,Really disagree,Disagree,Agree,Disagree,Agree,Really agree,Disagree,Agree,Agree,Really agree,Agree,Really agree,Agree,Agree,Really agree,Often,More people who DO NOT have the same skin color as me,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Kid 9
2025-02-25 19:26:38,2025-02-25 19:35:37,IP Address,73.36.161.233,100,539,True,2025-02-25 19:35:37,R_60M6gp42LtWdPwq,,,,,41.8018,-87.5993,anonymous,EN,YES,17,1 to 2 days a week,About 45 minutes a day,Other,Gaming,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Total gaming,Disagree,Disagree,Disagree,Agree,Disagree,Really agree,Agree,Agree,Agree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Often,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 10
2025-02-25 19:33:41,2025-02-25 19:38:50,IP Address,205.208.121.187,100,309,True,2025-02-25 19:38:51,R_1mM211d28FC9721,,,,,41.8018,-87.5993,anonymous,EN,YES,21,5 to 6 days a week,About 45 minutes a day,Educational,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Goebbels,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Never,More people who DO have the same skin color as me,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Kid 9
2025-02-25 19:42:35,2025-02-25 19:50:03,IP Address,73.36.161.233,100,447,True,2025-02-25 19:50:03,R_1tzN6VotKzNMrJW,,,,,41.8018,-87.5993,anonymous,EN,YES,18,1 to 2 days a week,About 1 and 1/2 hours a day,Other,debates,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Jubilee,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Really agree,I don't know,I don't know,Agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Never,More people who DO have the same skin color as me,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Kid 3
2025-02-25 20:21:13,2025-02-25 20:28:10,IP Address,73.36.161.233,100,416,True,2025-02-25 20:28:10,R_1QtrxLvcGbVOpWj,,,,,41.8018,-87.5993,anonymous,EN,YES,19,Every day,More than 2 hours,Other,Gaming,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Pewdiepie,Agree,Agree,Really agree,Disagree,Disagree,Really agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Really agree,Never,More people who DO have the same skin color as me,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Kid 8
2025-02-25 20:28:27,2025-02-25 20:36:36,IP Address,73.36.161.233,100,489,True,2025-02-25 20:36:37,R_6sYXE9awU7ubfH2,,,,,41.8018,-87.5993,anonymous,EN,YES,20,1 to 2 days a week,About 15 minutes a day,Other,Gaming,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Prestonplayz,Disagree,Disagree,Disagree,I don't know,Really disagree,Agree,Agree,I don't know,Agree,Agree,Really agree,Agree,Agree,Disagree,Really agree,Agree,Very often,More people who DO NOT have the same skin color as me,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Kid 6
